infinitive,past simple
accept,accepted
accuse,accused
achieve,achieved
act,acted
add,added
admire,admired
admit,admitted
adopt,adopted
advise,advised
affect,affected
agree,agreed
allow,allowed
announce,announced
appreciate,appreciated
approve,approved
argue,argued
arrive,arrived
ask,asked
assist,assisted
attack,attacked
attempt,attempted
attend,attend
avoid,avoided
back,backed
bake,baked
banish,banished
beg,begged
behave,behaved
believe,believed
belittle,belittled
blame,blamed
bog,bogged
boil,boiled
borrow,borrowed
bother,bothered
bound,bounded
brake,braked
brush,brushed
bury,buried
call,called
carry,carried
cause,caused
celebrate,celebrated
challenge,challenged
change,changed
chase,chased
chat,chatted
cheat,cheated
check,checked
cheer,cheered
chew,chewed
clap,clapped
clean,cleaned
clear,cleared
climb,climbed
close,closed
coax,coaxed
coexist,coexisted
collect,collected
compare,compared
compete, competed
complain,complained
concoct,concocted
confess,confessed
consider, considered
construct,constructed
contact,contacted
continue,continued
control,controlled
cook,cooked
copy,copied
cough,coughed
count,counted
crash,crashed
create,created
cry,cried
curse,cursed
cycle,cycled
damage,damaged
dance,danced
decide, decided
deliver,delivered
demand,demanded
design,designed
destroy,destroyed
develop, developed
die,died
disappoint, disappointed
discover,discovered
discuss,discussed
disregard,disregarded
disturb,disturbed
divide,divided
drag,dragged
dress,dressed
dry,dried
dunk,dunked
earn,earned
eliminate,eliminated
emigrate,emigrated
employ,employed
encourage,encouraged
end,ended
enjoy,enjoyed
escape,escaped
establish,established
estimate,estimated
exercise,exercised
expand,expanded
explain,explained
fake,faked
film,filmed
finish,finished
fish,fished
fix,fixed
flush,flushed
follow,followed
force,forced
foster,fostered
fry,fried
gather,gathered
grab,grabbed
grade,graded
greet,greeted
ground,grounded
guess,guessed
happen,happened
harass,harassed
harm,harmed
hate,hated
heal,healed
heat,heated
help,helped
hesitate, hesitated
hire,hired
hitchhike, hitchhiked
hope, hoped
hunt,hunted
hurry,hurried
hush,hushed
identify,identified
imagine,imagined
include,included
insist,insisted
intend,intended
interest, interested
interrupt, interrupted
introduce,introduced
invent,invented
investigate, investigated
irritate,irritated
jinx,jinxed
join,oined
joke,joked
jump,jumped
kick,kicked
kill,killed
kiss,kissed
knock,knocked
land,landed
last,lasted
laugh,laughed
learn,learned
lie,lied
lift,lifted
like,liked
link,linked
list,listed
listen,listened
live,lived
locate,located
lock,locked
love,loved
mail,mailed
marry,married
measure,measured
mind,minded
miss,missed
mistreat,mistreated
mix, mixed
move,moved
murder,murdered
name,named
need,needed
note,noted
notice,noticed
number,numbered
obey,obeyed
offend,offended
offer,offered
open,opened
outsmart, outsmarted
overreact, overreacted
paint,painted
park,parked
phone,phoned
pick,picked
pip,ripped
piss,pissed
place,placed
plan,planned
play,played
please,pleased
pluck,plucked
practice,practiced
praise,praised
pray,prayed
prefer,preferred
pretend,pretended
print,printed
proceed,proceeded
promise,promised
pull,pulled
pull,pulled
punch,punched
punish,punished
purchase,purchased
push,pushed
question, questioned
race,raced
rain,rained
rate,rated
recommend,recommended
reduce,reduced
refuse,refused
regret,regretted
rehearse,rehearsed
relax,relaxed
remember,remembered
reply,replied
request,requested
rescue,rescued
retire,retired
return,returned
rob,robbed
rub,rubbed
rush,rushed
scare,scared
scold,scolded
seem,seemed
select,selected
share,shared
shop,shopped
shout,shouted
shrug,shrugged
sign,signed
skate,skated
slap,slapped
slip,slipped
smoke,smoked
snatch,snatched
snore,snored
sort,sorted
sound,sounded
stalk,stalked
stare,stared
start,started
state,stated
stay,stayed
step,stepped
stop,stopped
store,stored
stroll,strolled
study,studied
succeed,succeeded
sue,sued
suggest,suggested
talk,talked
taste,tasted
tease,teased
thank,thanked
touch,touched
tour,toured
trade,traded
travel,traveled
trip,tripped
trouble,troubled
try,tried
turn,turned
twist,twisted
type,typed
underline,underlined
use,used
vary,varied
visit,visited
visit,visited
vote,voted
wait,waited
walk,walked
want,wanted
warn,warned
wash,washed
wast,wasted
watch,watched
water,watered
wave,waved
welcome,welcomed
wink,winked
wish,wished
witness,witnessed
wonder,wondered
work,worked
worry,worried
wrap,wrapped
yell,yelled
